x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
15346.0,2754463.0,358887.0,1486.0,12863.0,8815.225,2.6,36322.0,57.11,1748.0,9854.0,2672248.0,227339.0,492.81,2
53299.0,549755715.0,2683148.0,358.97,19829.0,8714.61,2.0,3616.0,48.41,298.34,6302.0,952787.0,1556.7,13576.0,1
164345.1,26143744.0,246367.33,254.25,3936.4,3668.67,5.64,55419.0,54.71,3967.16,1161.92,8428.84,655.17,9108.0,3
433858.0,39628272.0,159725.0,173.17,59958.75,575.29,5.52,57613.0,55.66,244.72,16.0,69527.86,343.81,277.24,3
23921.0,141801110.0,663778.0,133770.0,52547.0,772.48,0.0,8619.0,56.39,586.28,22.0,11692.57,71.36,31.27,0
6942.53,1356.0,167736.0,21.6,129493.0,1276.5,2.0,5127.0,54.24,734.43,757.94,5749.8,33.98,25.77,2
394642.0,74346384.0,169489.6,158.31,90377.0,12.0,5.0,2294.0,56.8,1275.35,2331.53,2156.7,195.46,78.86,0
41956.16,6876453.55,2752.11,6924.18,162926.91,9457.34,15.5,57428.0,54.0,4761.69,6999.43,86.0,33052.0,394.86,2
4811.34,63988592.0,386712.66,674.71,61359.0,53.8,6.2,15.0,55.67,921.49,2315.88,1517.7577,132.133,7.93,0
1574.45,28186.0,333.0,144.1,1.18,342.59,6.47,441.0,56.33,413.5,1754.0,5616.41397,45.65,11.68,2
412264.0,513478.62,33193.13,18.43,2467.26,4564.12,4.0,39284.0,51.14,2494.21,823.3,33998.16,215.68,18212.0,2
21749.81,1719.99,62456.0,366.64,251.62,961.72,6.0,1495.0,47.23,1931.79,4042.0,12658.51,97.18,5879.0,2
512226.0,76292.0,7699.0,984.2,36462.0,4359.0,6.9,15363.0,54.96,178.0,354.83,23378.93,15.66,82.97,2
153532.0,1393502.0,57464.0,65.8,150843.0,1618.52,3.0,7183.0,5.54,69.32,3334.2,1569.77,84.19,46.22,2
19727.86,1464.63,59527.46,245.67,25161.0,784.73,1.0,1588.0,48.9,1681.21,2319.0,11359.27,85.65,1419.0,2
621.69,151.38,22732.0,113.17,38735.26,433.36,2.0,4379.0,49.76,278.92,10432.0,453.29,32.87,15147.0,2
19572.91,2723971.0,147436.0,785.26,1713.8,2539.75,7.0,144646.0,17.57,1711.48,3362.77,2482.25,125.59,96.46,2
327.0,43586.0,138.0,2629.15,528.0,279.58,9.22,5951.0,52.63,3548.98,5292.0,7952.0,1964.0,314.0,2
64661.0,152594.0,183.0,17.87,326.0,471.84,5.9,12932.0,55.37,532.42,3978.16,24621.44,28.85,99.28,2
6737.29,1139.0,8694.0,12.64,74083.0,155.3,0.0,4984.0,54.27,562.79,97.68,5478.13,33.21,26.29,2
9592.69,15554.88,92918.0,285.88,9837.28,536.5,2.77,9867.0,56.0,212.42,12648.0,836144.8,9795.9,53.6,2
4386.0,383.0,28112.0,19.78,5379.0,22.6,3.67,4447.0,55.79,469.42,1519.2,52224961.0,29.93,17.95,4
247837.0,657758.3,34423.6,284.77,2788.22,497.49,7.0,39175.0,51.43,2559.8,1451.5,36782.87,239.3,9944.0,2
2672.57,477878.0,27218.86,227.49,514913.6,2164.0,7.44,6526.0,5.8,116.11,367.24,686.86,67.95,23.39,2
1643454.48,272763.23,26497.71,19631.29,39298.13,18736.83,3.8,351252.0,53.96,24658.18,11958.0,325.0,339.28,822.75,2
137568.0,132273.0,747.0,186.21,135234.0,283.42,5.0,6917.0,59.4,453.3,7277.0,742.35,39794.0,33.1,2
578916.0,1984208.0,313972.0,105123.0,9030.0,917.7,1.0,9878.0,56.51,739.3,14.0,1395.65,92.61,74.24,2
179529.31,2871.13,122581.16,3722.94,3687.51,966.2,3.78,178252.0,59.76,161.0,3667.68,1259.0,76532.0,3980.0,2
39297.9,81161682.0,13974.93,2486.21,65355.0,199.12,2.79,43489.0,49.29,26613.17,11481.0,351713.83,352.16,1497.45,0
598766.0,38591578.0,242537.0,526.9,72695.75,5538.99,5.49,56653.0,54.52,239.64,178.0,5952.33,343.9,296.45,3
296759.0,135658.0,656.0,17.34,43141.0,1219.0,4.0,35481.0,6.0,2171.0,10210.0,9940158.0,2468.0,10978.0,2
3695.0,362.0,2414.0,152.33,39492.0,3769.0,3.16,4231.0,55.52,2935.0,128.4,45982765.0,24.53,15.96,4
